"","Internal.ID","answer","answer_n"
"1",21,"As a research software developer and one that believes this should be delivered as a Software-as-a-Service (SaaS) service to all researchers, I'm answering yes.","Other"
"2",30,"My research depends almost entirely on software use and development.","Other"
"3",35,"Yes, but ""research software"" based on my extended definition above.","Other"
"4",40,"Genomics analysis is all software.","Other"
"5",46,"We develop software on an ongoing basis; use existing research software.","Other"
"6",52,"Yes, but I wish we had more dedicated research software, not making do with MS Windows applications.","Other"
"7",59,"Given that definition it's hard to say, but I need to use survey software, analysis software, several programming tools and environments, and so on.

Do I develop research software? I have written code that is used by others, But who knows.","Other"
"8",72,"it's critical to the research of the people I support, not my own.","Other"
"9",105,"ABSOLUETLY. IT IS AN ESSENTIAL PART CURRENTLY","Other"
"10",112,"En etant que je suis informaticien au support a la recherche pour toute l'universite. La reponse serait : pour la majorite de la communaute de recherche oui, les logiciels de recherche sont essentiels mais pas pour tous.","Other"
"11",113,"Je ne fais pas de recherche, je suis analyste en soutien.","Other"
"12",127,"My role do not include research, research Software is however critical to my work.","Other"
"13",137,"not applicable","Other"
"14",181,"My research is entirely computational/ theoretical, and hence based on research software that either exists (usually) or is developed by us (sometimes)","Other"
"15",189,"By either definitions -- software (code) and all the necessary supports for that code (hardware, people, etc....) are critical to my research","Other"
"16",196,"depends on what is meant with research software","Other"
"17",201,"Absolutely. Custom written software is integral to all parts of our research projects.","Other"
"18",205,"Research software as defined above is foundational to my work without which I would not be able to do what I do.","Other"
"19",207,"research software as defined upper is crucial for real large collaboration between researchers; sharing information and discoveries; it's a leverage","Other"
"20",248,"Pour mon poste il s'agit surtout de soutenir l'utilisation des logiciels de recherche.","Other"
"21",253,"Yes, without it research are reliant on standard software and manual workflows that block innovation.","Other"
"22",274,"If one has data, usually one requires software to treat them.","Other"
"23",330,"Our research is focussed on a continually developing numerical model for our applications, with associated scripts, and then the needed analysis and visualization tools.","Other"
"24",338,"Our entire research program would not run if not for research software","Other"
"25",376,"My job is to develop research software.","Other"
"26",406,"I am not doing research, but rather facilitating research. But it is essential to do that. ","Other"
"27",423,"Everything is digital, therefore everything requires software. Bu the above definition, it is almost impossible to conceive of a scenario where I would answer No.","Other"
"28",433,"Examples of software critical to my research are perfsonar, openstack, and xrootd.","Other"
"29",458,"With the more comprehensive definition, research software is fundamentally important to my research. ","Other"
"30",469,"Essential","Other"
"31",473,"My team generally doesn't have access to them. Thus, we don't know how different it would be to have one available. I am sure it would help, though. ","Other"
